Area Name-Legal/Statistical Area Description,Qualifying Name,FIPS,Summary Level,Geographic Component,State (FIPS),County,County Size Code,County Subdivision (FIPS),Census Tract,Total population: Population in group quarters: Institutionalized population: Correctional institutions
Census Tract 4372,"Census Tract 4372, Alameda County, California",6001437200,140,0,6,1,21,,437200,0
Census Tract 4373,"Census Tract 4373, Alameda County, California",6001437300,140,0,6,1,21,,437300,3
Census Tract 4374,"Census Tract 4374, Alameda County, California",6001437400,140,0,6,1,21,,437400,0
Census Tract 4375,"Census Tract 4375, Alameda County, California",6001437500,140,0,6,1,21,,437500,0
Census Tract 4376,"Census Tract 4376, Alameda County, California",6001437600,140,0,6,1,21,,437600,0
Census Tract 4377.01,"Census Tract 4377.01, Alameda County, California",6001437701,140,0,6,1,21,,437701,0
Census Tract 4377.02,"Census Tract 4377.02, Alameda County, California",6001437702,140,0,6,1,21,,437702,0
Census Tract 4378,"Census Tract 4378, Alameda County, California",6001437800,140,0,6,1,21,,437800,0
Census Tract 4379,"Census Tract 4379, Alameda County, California",6001437900,140,0,6,1,21,,437900,0
Census Tract 4380,"Census Tract 4380, Alameda County, California",6001438000,140,0,6,1,21,,438000,0
Census Tract 4381,"Census Tract 4381, Alameda County, California",6001438100,140,0,6,1,21,,438100,0
Census Tract 4382.01,"Census Tract 4382.01, Alameda County, California",6001438201,140,0,6,1,21,,438201,0
Census Tract 4382.03,"Census Tract 4382.03, Alameda County, California",6001438203,140,0,6,1,21,,438203,0
Census Tract 4382.04,"Census Tract 4382.04, Alameda County, California",6001438204,140,0,6,1,21,,438204,3
Census Tract 4383,"Census Tract 4383, Alameda County, California",6001438300,140,0,6,1,21,,438300,0
Census Tract 4384,"Census Tract 4384, Alameda County, California",6001438400,140,0,6,1,21,,438400,0
Census Tract 4401,"Census Tract 4401, Alameda County, California",6001440100,140,0,6,1,21,,440100,0
Census Tract 4402,"Census Tract 4402, Alameda County, California",6001440200,140,0,6,1,21,,440200,0
Census Tract 4403.01,"Census Tract 4403.01, Alameda County, California",6001440301,140,0,6,1,21,,440301,0
Census Tract 4403.04,"Census Tract 4403.04, Alameda County, California",6001440304,140,0,6,1,21,,440304,5
Census Tract 4403.05,"Census Tract 4403.05, Alameda County, California",6001440305,140,0,6,1,21,,440305,0
Census Tract 4403.06,"Census Tract 4403.06, Alameda County, California",6001440306,140,0,6,1,21,,440306,0
Census Tract 4403.07,"Census Tract 4403.07, Alameda County, California",6001440307,140,0,6,1,21,,440307,0
Census Tract 4403.08,"Census Tract 4403.08, Alameda County, California",6001440308,140,0,6,1,21,,440308,9
Census Tract 4403.31,"Census Tract 4403.31, Alameda County, California",6001440331,140,0,6,1,21,,440331,0
Census Tract 4403.32,"Census Tract 4403.32, Alameda County, California",6001440332,140,0,6,1,21,,440332,0
Census Tract 4403.33,"Census Tract 4403.33, Alameda County, California",6001440333,140,0,6,1,21,,440333,0
Census Tract 4403.34,"Census Tract 4403.34, Alameda County, California",6001440334,140,0,6,1,21,,440334,0
Census Tract 4403.35,"Census Tract 4403.35, Alameda County, California",6001440335,140,0,6,1,21,,440335,0
Census Tract 4403.36,"Census Tract 4403.36, Alameda County, California",6001440336,140,0,6,1,21,,440336,0
Census Tract 4411,"Census Tract 4411, Alameda County, California",6001441100,140,0,6,1,21,,441100,0
Census Tract 4412,"Census Tract 4412, Alameda County, California",6001441200,140,0,6,1,21,,441200,0
Census Tract 4413.01,"Census Tract 4413.01, Alameda County, California",6001441301,140,0,6,1,21,,441301,0
Census Tract 4413.02,"Census Tract 4413.02, Alameda County, California",6001441302,140,0,6,1,21,,441302,0
Census Tract 4414.01,"Census Tract 4414.01, Alameda County, California",6001441401,140,0,6,1,21,,441401,0
Census Tract 4414.02,"Census Tract 4414.02, Alameda County, California",6001441402,140,0,6,1,21,,441402,0
Census Tract 4415.01,"Census Tract 4415.01, Alameda County, California",6001441501,140,0,6,1,21,,441501,0
Census Tract 4415.03,"Census Tract 4415.03, Alameda County, California",6001441503,140,0,6,1,21,,441503,0
Census Tract 4415.21,"Census Tract 4415.21, Alameda County, California",6001441521,140,0,6,1,21,,441521,6
Census Tract 4415.22,"Census Tract 4415.22, Alameda County, California",6001441522,140,0,6,1,21,,441522,0
Census Tract 4415.23,"Census Tract 4415.23, Alameda County, California",6001441523,140,0,6,1,21,,441523,0
